C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_12_708.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_12_708.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_12_708.jpg, 0, 0, 0, 6.813408
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_12_810.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_12_810.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_12_810.jpg, 0, 0.1029471, 0, 6.770847
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_12_910.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_12_910.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_12_910.jpg, -0.2736354, 0.3944226, 0, 7.010188
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_011.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_011.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_011.jpg, -0.4998123, 0.6942411, 0, 7.570034
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_114.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_114.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_114.jpg, -0.1716307, 1, 0, 8.767996
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_214.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_214.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_214.jpg, -0.4737613, 1, 0, 9.85942
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_317.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_317.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_317.jpg, -0.229651, 1, 0, 10.96108
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_417.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_417.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_417.jpg, -0.0485439, 1, 0, 12.17335
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_520.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_520.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_520.jpg, -0.3458772, 1, 0, 13.03663
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_622.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_622.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_622.jpg, -0.04665509, 1, 0, 14.17701
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_725.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_725.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_725.jpg, -0.1347231, 1, 0, 15.26702
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_827.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_827.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_827.jpg, -0.1461483, 1, 0, 16.20164
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_13_927.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_13_927.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_13_927.jpg, -0.0504465, 1, 0, 17.39183
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_14_028.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_14_028.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_14_028.jpg, -0.3119366, 1, 0, 18.22627
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_14_131.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_14_131.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_14_131.jpg, -0.01451005, 1, 0, 19.3943
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_14_231.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_14_231.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_14_231.jpg, -0.2202609, 1, 0, 20.2843
C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\center_2023_02_27_22_43_14_335.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\left_2023_02_27_22_43_14_335.jpg, C:\Users\Srikanth\Downloads\simulator-windows-64\IMG\right_2023_02_27_22_43_14_335.jpg, 0, 1, 0, 21.49201
